0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511
0.83795303,0.021501288,0.34104067,0.03985579,1.1585792,-0.30727613,0.45801613,-0.51702684,0.5771201,-1.0713068,0.18358964,-1.945573,1.5368544,0.12306669,0.55109954,0.40711838,0.22649531,-0.14121369,-0.4140826,-1.3511922,-0.5688172,-0.23768272,-0.7897109,-1.0861931,-1.2438068,-0.7048019,-0.32159603,0.17088553,1.3843501,0.94379115,-0.040688574,0.69039744,-0.67856956,1.2398126,1.2011293,0.71739197,-0.03137268,0.21260557,0.37849963,-1.0317149,0.19763888,0.22669145,0.697353,-0.8110966,-0.7341503,1.7465945,1.0210048,-0.14163843,-0.0047832876,-2.2007024,-0.6442944,0.03127218,0.07967523,2.151626,0.91879994,0.9958817,0.7771442,0.5692933,-0.99890375,-0.19641405,1.0216845,-0.10475913,0.5690289,0.53996736,1.1902783,1.6742326,-0.10565669,1.1029103,-0.45119116,-0.53851444,-1.7867966,0.530545,1.2032726,-0.47794163,0.7000342,1.6875572,0.28713447,-0.40380162,1.8393593,-0.21222487,0.0024227202,0.21911079,1.0132593,1.7864206,-1.5236855,-0.20264873,0.08173697,-0.4520681,0.18418303,0.5213244,-0.3343413,1.1550313,0.22603247,-0.43973058,-1.0054871,0.4460235,0.8114596,0.90334815,1.0605062,-0.21250771,-0.5553776,-0.20258816,-0.07913807,-1.1468558,-0.64893484,-0.20444144,0.9889501,0.4931801,-1.36353,-0.86098266,-0.6929946,-1.207357,0.11341949,-2.375333,-0.62333643,0.15563789,-2.1755667,-0.6680457,0.72495407,2.0927703,-0.7887621,-2.5372186,0.037372693,-2.1907482,-0.8609545,0.5597388,-0.033886574,0.99467915,-0.29503283,-0.5929432,0.3645846,-0.34563985,0.20042758,0.9272803,0.02535813,-0.33771938,0.6039858,-0.47135767,0.29121062,-0.08366401,-0.2779321,0.49667987,1.6984051,0.53013325,-0.8171896,0.7059822,-0.36512908,-2.1215096,-0.04912925,1.13299,0.14132199,-0.9191727,0.420879,-0.82383806,-0.3027873,-0.32392836,0.6136706,0.3133185,-0.95568395,1.0465467,1.7430582,-0.12510103,1.0537286,-0.17987257,0.44354546,0.67421126,1.2475307,1.3030398,-0.9081263,0.2904923,-0.37976438,1.2316074,0.96472687,0.3997056,0.42085868,-0.12753044,-0.72054964,-0.55388737,0.6019063,0.4782256,1.238626,0.23293042,1.5973144,2.5377343,0.9542934,-0.8474396,1.4578917,-0.5052357,-0.43847728,-1.3587089,0.65167564,1.5530882,2.7393112,-1.1127979,0.42243838,-0.12554514,-0.15860665,-0.71666163,-0.431026,0.8545984,-0.7792132,0.39852953,0.12485318,-0.8533487,-2.2489557,-1.033167,1.7067696,2.3908215,-1.168726,-2.0271277,-1.8764546,-0.49888065,-0.8269405,-0.58181876,-1.7536467,-0.5627202,-0.5984745,0.078160204,-1.0581352,-0.43850544,-1.404305,0.9564208,0.035929173,-0.8045644,0.7511925,-0.8764798,-0.96313226,1.7389634,0.86366886,-0.70762956,1.2571515,-1.297284,0.33225322,0.68156147,-1.3602021,-2.1688612,1.4872651,0.41529968,-0.06251712,0.75378895,2.5089092,0.9870795,0.9301463,-0.54745156,0.051932402,0.108972035,-0.99708986,-1.1799363,0.44293562,-0.6491138,-0.12866127,1.2629064,-0.0004918277,2.3243022,-0.0016113557,-0.057606347,0.45143595,0.6452684,-0.09983648,2.695955,0.7498136,0.035386886,-1.4177188,-2.4527295,0.10657561,-0.32960248,0.92230904,2.013943,-0.107878685,-1.4328189,0.06299981,0.9353036,0.01281938,0.34495282,-0.10194701,1.8236743,0.1857816,-0.70226216,-0.25152972,0.1967349,-0.25321418,-0.27123883,-0.14021562,-0.98085254,-1.7889037,0.5120622,1.5524694,0.72064877,-0.17987913,0.14943111,-0.6543076,-0.54682326,-0.4479086,-0.1297707,-0.8891534,-1.7348343,0.21406546,0.9990881,-1.0198313,-0.3107955,0.49249187,-0.84567094,-0.24629256,1.2521646,0.8265195,0.07367174,0.62407434,0.1007697,0.15599388,-0.07371028,0.069150776,1.0063777,-1.4812491,0.21086396,0.5540436,0.7809236,-0.8066059,0.048266396,1.170502,-1.3827739,-0.28284803,-1.8582181,0.10067414,0.46998096,0.16433357,-0.24476455,0.6226886,0.13480105,1.0858505,0.048502877,-0.9065589,-0.76638204,-2.4412034,-0.7749488,0.054049693,-0.38877624,-0.24563886,0.36626998,-0.13148548,1.1366189,0.27564576,1.034873,1.3055725,0.12148571,0.29400674,-1.169497,-0.41218844,-0.8164569,-0.06941781,-0.6932992,-2.0515685,-1.9790982,-1.903656,-1.0017406,-0.8660321,-0.061685786,-1.7433652,1.0346932,-1.0903481,-0.21532029,1.7061126,2.3274403,0.58384573,-0.98110205,-1.1772113,0.021887336,-0.6981651,-0.36682758,0.1135748,-0.2166119,0.3428279,0.51932275,0.17066072,0.4132673,0.07648182,1.4478533,-0.14714973,2.087068,-0.340121,1.1382365,-1.0170586,0.065581754,-0.29376435,1.3019456,-0.18250889,-0.24633382,-0.809464,0.43568107,-0.20760362,-0.21228924,-0.5604883,-0.44868004,-0.55908805,-0.14337307,-0.4279223,0.41052037,-1.4362096,0.90364265,-0.4582454,0.52246994,1.0691185,-0.05395052,-0.7755395,0.8396361,0.5436459,-1.4860702,-1.4746902,0.34659907,0.36560446,-0.014736477,0.81761456,-0.20293161,0.21498412,-0.76783717,0.46320647,0.072449975,-1.0823324,-2.3308108,-0.21807241,-0.34023982,0.9060833,1.1905868,-1.7172822,-2.7607894,0.504281,-0.21754614,0.9142934,-0.11951904,-0.40550503,0.13008389,0.7482485,-1.3387107,-0.57512623,-0.4518191,-0.5948071,-0.10540265,0.7671314,-1.2610735,-0.5689148,0.08158648,0.17608792,0.2124407,-0.31386238,-2.214757,1.715845,0.37657723,1.0223589,-0.45544907,0.12520845,0.2381877,-0.3409332,0.42876753,-0.050389852,-1.4143306,-0.39371955,-0.81796753,-0.137256,-2.332982,-1.2929239,-0.054369405,0.81523204,0.69099545,-0.196709,2.5236323,-2.904633,1.5761086,0.63613325,-0.22471055,-2.2871935,1.0439473,-0.18159255,-0.44063115,-0.19945171,0.7206388,0.63347614,0.12934108,1.0697074,1.4935716,-0.49533197,1.020479,1.9059892,-0.90467334,0.11160123,0.24197383,1.2690524,0.053917028,1.5829237,-1.3340223,1.6589248,0.41460752,-0.90870965,1.6682353,-0.42065072,0.15620062,-0.1397807,-0.6709249,0.7594161,-0.7416289,-1.2742548,0.44440508,-0.80734456,-0.33073765,-1.0065234,1.0877787,0.12968604,-0.44036952,-0.24645543,2.2983315,-1.5334061,-2.0514355,-0.97253823,0.43728673
0.15705559,1.5523316,0.4448042,-0.26030713,-0.42555052,0.32337534,-0.0631053,-0.3050179,1.1683525,-0.21323307,-0.04834294,1.5876724,-0.4241807,-1.3433225,0.0038808137,-0.653673,0.6060953,-1.1784375,-0.8725599,-0.9308951,0.18778546,-1.4176395,1.1251148,-0.79218465,-2.1907196,-0.78226507,0.48358148,-0.8199614,-0.25628665,0.41466308,-0.8350637,0.5479198,-0.4561243,-0.26192883,-0.698437,0.047776483,-0.35415506,0.61626637,0.034866318,1.8066344,-0.88163286,-0.70441425,-0.027784154,-1.3950105,-0.031023785,-0.40096152,0.18687895,-0.78327155,1.138391,0.64696205,-1.3366787,0.7366436,1.2366732,-0.44489053,0.32004857,-1.0827734,0.081167914,-0.30847794,1.863073,-0.1629249,0.59189916,-0.6315545,-0.25279874,1.068911,-1.5955213,-0.72650033,0.46067154,-1.0309948,-0.45179614,0.5295509,0.46547422,-0.26099437,-0.6166245,-0.2032678,-0.49779403,-1.2166936,2.5771782,0.34514153,-0.32807496,0.6172184,-0.6374283,-0.2024996,1.5416892,-1.3578823,1.7343411,0.7134526,-0.3910599,1.0061902,-2.190178,-0.7327174,1.0456979,0.76118267,-0.062067613,-0.48675907,-1.1319293,-1.1005228,0.67902803,0.6257848,0.1323023,-0.3023648,-1.173307,0.09303258,1.2355851,-0.35002497,0.94650257,-0.28049293,1.7459157,-1.7306999,-0.37742534,-0.32038784,2.0855095,-0.70222324,1.3661556,1.4983001,0.6496117,-0.040781185,-0.89229465,-1.0047499,0.009852938,0.29445714,1.0666778,1.6538001,-0.12541935,0.0023982748,-1.2807657,-0.5632997,-0.1273096,-0.51241064,-1.1316231,0.29703364,0.71393365,-0.012344748,-1.4114258,0.10385299,-0.12278919,0.8796691,1.446101,0.7471118,0.05149235,1.6369015,1.767079,-0.46004647,0.29905814,-0.89371127,0.5417952,-1.2648885,0.38487923,-0.5051437,-0.12032251,-1.4454669,-0.7450794,-0.1291906,0.21587712,0.28112727,-0.5026532,1.0839018,-0.4915647,0.9497836,-0.9113678,-0.43169096,-0.083231166,-0.90277416,-1.2910234,0.5429797,-0.346814,0.80880165,0.33609617,1.2681749,-1.4332451,-0.1657995,1.266578,0.978692,0.71599257,1.0500925,0.37566876,0.07563116,0.38629264,-1.3896337,0.3863751,-0.04304558,0.20923913,1.5355,0.4273997,-0.28698006,-0.37160856,-0.9927583,1.5635793,-0.7172279,1.447833,-0.58923864,-0.7467338,-0.41999537,-0.1819831,-0.3620389,1.2782443,-0.17710778,0.39573282,0.28676254,1.2626793,-0.61522603,0.5084516,-0.48210603,1.6150253,-0.6396421,0.5232073,0.06980223,-1.0470243,-1.5128067,-0.31038812,0.018124048,0.9862164,1.3184688,1.8859835,0.691666,-1.5026196,1.3409336,0.5482489,-0.65161014,1.1365509,-1.1624404,1.2509782,1.4063035,1.4605966,-0.93364567,-0.13545993,0.20284066,0.25144327,-1.1975414,0.08445522,-0.15439722,0.2500357,-0.66710645,0.3244691,0.75356793,-0.49743918,1.9479165,-0.55482113,0.9667033,1.7657932,0.44208348,-0.17412505,1.5387988,-0.86319166,-0.3992941,1.299202,-0.74597055,-0.524618,0.6809451,0.34011093,-0.8178783,0.34551936,-0.2583778,1.3494927,0.48148865,-0.46036243,-0.91916573,-0.058376,-1.0484672,-0.8207263,0.22378427,-0.48989967,-1.9299672,-0.4285718,-1.3958416,-0.21498948,-0.04136704,0.5798738,0.09554375,-0.18244171,-1.4204054,0.13473159,1.2530429,1.0090362,-1.923127,0.78894657,-1.1933165,0.12014348,-0.4089514,1.5103561,0.69270223,-0.48124897,-0.59009415,1.1880985,1.3356335,-0.74684995,-0.21648659,-0.9379111,1.087551,0.40604147,1.4675001,-0.011950617,0.51023704,0.021171622,0.42123044,-0.93251336,-1.1736381,-0.6473845,-0.17364344,0.5712274,-1.5196793,1.4487354,0.5842229,-0.15455234,-0.48736897,-0.8500747,-2.740556,-0.9691712,-0.34238464,-0.35855097,0.8939061,-0.5214358,-1.0717144,0.18071617,-0.09782779,-0.25939542,0.98460567,1.0245149,-0.5724685,2.2110076,-0.5291258,-0.5614559,-0.542826,-0.19350837,0.038020924,-0.787399,-1.0344288,2.180252,-1.4847796,0.28862438,-0.06683078,0.092107974,0.7176354,1.0811032,-0.10548794,-0.9548348,-0.7588012,-0.2805767,-0.62052214,0.30841574,0.43799612,1.9532702,-0.62726516,-0.06004521,1.0996815,-0.33735427,0.02945251,0.01654464,0.21606481,1.0565873,-0.021535099,1.8363602,-0.4609688,1.7572087,-1.825056,-1.0332018,-0.24291497,0.22843064,0.43360656,-0.34095883,-0.624141,0.3214306,-0.34681302,0.4921376,-0.61301214,-1.6305957,0.0038758814,-0.38161117,-0.40760896,-2.307573,0.95617884,1.2525581,-1.0099101,-0.6526812,0.3626573,1.069708,0.7733667,0.52892965,-0.52882785,-0.10516176,0.715376,0.21596517,0.79356843,-0.9391375,-0.9460527,-1.6261919,-0.49693292,0.85742193,0.6831174,0.08110781,-0.9678869,-0.9493589,0.5027951,0.55230457,-0.10143641,-0.50343585,1.4828264,-0.7905363,0.4888988,-0.5180446,1.8390334,0.6412423,0.026132716,1.2729858,1.3688371,-0.23398045,0.051910236,-0.43857202,-0.11028165,1.3072534,-0.03380023,-0.4147867,1.1190217,-0.15311614,-1.1811827,-0.44798377,-0.16362211,-1.4740592,-0.5211149,0.6480529,-0.029575333,-0.072469994,1.0229945,-0.17328358,-0.9371661,1.2850134,0.015097663,0.08349669,0.479845,0.014526572,0.17979187,-0.7043342,0.17011064,0.10669774,-0.87102914,-0.63409925,1.0897319,-0.49091113,-1.0069911,1.0715185,-0.73864424,-0.10353176,-0.9285203,0.9223335,-0.7148398,-1.1951734,-0.66839755,-0.20766541,-0.4035987,-1.285329,0.22429627,-0.72999555,0.8872622,0.6333551,0.53535014,1.4323429,-1.3076264,-1.4898925,-0.3734498,-0.79169565,-0.5614854,1.7357057,0.88377863,0.14825566,-0.53043395,-0.26647145,0.22355278,-0.80467117,-0.36484018,-0.62860197,0.977069,-0.73610896,1.5662601,0.045563996,0.9849159,0.8000308,-0.32703686,0.8196087,0.7172713,0.34984383,-0.59595734,0.12971433,-1.2292048,-1.5357809,-1.5841887,-1.1996058,-1.221627,-0.6139562,-0.85375667,0.50783664,0.7100516,0.62256014,0.37398836,-0.49140579,0.3345015,-0.4904768,1.4613892,-1.0260231,0.97497755,0.3116665,-0.67196155,0.112648234,0.38957483,1.2260427,0.44432408,-0.6986751,-0.41836822,-0.81191146,0.02476219,0.86397904,1.0271086,-0.49686462,0.05561886
0.057144023,-1.7825289,1.0375032,0.77739936,0.40042102,0.40276128,0.2934219,2.0938776,0.62198323,0.10565445,-1.1639638,1.1387028,-0.024500635,0.8053974,1.7470725,0.86332047,0.63047093,0.6300541,-0.2993456,0.15903816,0.42848277,-0.01953841,0.9121322,-0.515991,-0.0035110787,0.8055546,0.24610128,-1.0482985,0.7515995,0.5123991,0.007157631,0.46754104,-0.06687597,0.15272327,0.24424264,-1.1768384,-0.6204166,-1.0603814,0.6502694,-0.2124426,0.34681475,0.60786194,-0.11883227,0.34658408,0.35097152,0.294964,0.32144156,0.40016752,0.1275151,0.12311324,0.48151135,-1.1616663,-0.54419863,1.0424161,0.5529675,-0.24878344,0.057334267,0.35011375,1.1662565,0.037801534,0.9223503,1.4774479,1.0492972,1.0840305,1.0574689,-1.2937137,-0.82716084,0.20970064,0.7549504,-0.13723563,0.21887243,0.046307184,-0.08360495,-0.7673646,-0.14831118,0.44390386,-0.5794747,0.96187264,0.87764525,-0.95689094,-0.7791254,0.479072,-0.265097,1.5139084,1.1140698,-0.5408053,0.30434072,0.6928208,-1.0705073,-0.2117059,0.048762202,0.27610686,-0.3411989,-0.49860942,1.3739941,0.09504331,-0.06718261,-0.49818984,-0.49484524,0.39707276,1.1559701,0.30673376,0.22531676,-0.112491876,0.5066942,0.5907331,0.9983592,0.5063677,0.7016356,0.79425013,0.2592573,0.95723265,0.8192586,-0.14074844,0.51131785,0.52397585,1.0885853,-0.7965486,0.5737383,0.7029586,0.1526133,-0.8244013,0.10122706,-0.10412663,0.4233702,-0.10222159,-0.44523886,0.34345418,-2.3173692,-0.7391605,-0.71809167,0.4927487,-0.481318,-0.4304034,0.6910147,-0.03286951,-0.46155155,-0.8765587,-0.47073868,0.91510206,1.629796,-0.54565215,-0.7171252,0.55082107,-0.38201728,-0.633886,-0.24108435,0.6912695,-0.84143966,0.9836941,-1.0995463,-0.27518028,0.6967816,1.02788,0.16742074,0.24470086,-1.6760601,0.48372424,-0.16511655,1.0661123,-0.6044793,0.7130449,-0.13659044,0.41545215,1.3026998,-0.28130758,-0.46646285,0.48592383,-0.16099554,-0.36129487,-0.8309173,-0.066597536,0.6193247,1.9397748,-0.5969714,0.53337693,-0.5991442,-0.21293446,0.74283665,-0.7208495,-0.18408108,0.7092142,-1.895362,1.2933515,-0.37903202,0.7413633,-0.8346845,-0.604536,-0.25462747,0.97350204,-0.88184595,0.002202033,9.675324e-05,1.3446274,0.26773125,0.27992666,0.019769289,-0.3000182,-0.53944904,0.14339931,-0.019923724,1.5967746,-0.4152861,1.2626007,1.437352,0.61940855,-0.32494876,-0.78501487,0.7655781,-2.1520207,-0.2857036,-0.30977488,-1.0670817,-0.46037585,-0.43911862,-0.46678123,-0.5204661,-0.5979434,-0.26247928,0.53454125,0.07514568,0.92981195,-0.44487375,0.4392174,-0.68573195,0.022049643,-0.59849834,-1.0565366,1.0838027,1.2425158,-0.19339898,0.5224673,-0.6362182,0.23245284,-0.092174664,0.33952075,0.64443135,1.2208723,-0.71640044,1.1545329,0.22200117,0.37694582,-1.1910341,1.0703304,0.43722326,-1.2760649,-0.8366661,-0.67539865,-0.19319998,-1.5306001,-0.1052021,0.27763408,1.097599,0.37001637,-0.41335112,0.73919594,0.39035237,-0.78958523,0.72793376,0.097632915,-1.1321349,-0.17872527,1.0019417,-1.4914767,0.09143884,-0.6097125,-0.41743317,-1.0635651,0.270312,0.121570736,1.3231852,0.39350954,1.492981,-0.61724794,1.4239782,0.889164,-1.5740371,-0.40049037,-0.2958276,-1.1569192,0.8078024,-0.04338365,1.081332,-0.18556002,-0.29613388,0.91149855,-0.42746073,-1.5949558,-0.5123067,-0.08851735,-0.77494043,1.2812778,-0.028454332,-0.62195694,-0.9626476,-0.798267,-0.1905827,-0.60495377,0.9414516,-1.2328892,0.39075932,0.23434256,0.063339174,0.067948684,-0.14407241,-0.7274048,-0.9325935,0.7864429,-1.7332723,0.3376553,0.3063329,1.1817594,0.0768913,-0.6204117,0.94517803,1.175242,-0.21257068,-1.2621782,-0.7349302,-0.5304606,-0.025402784,-0.7851262,-0.22755274,-0.5138384,1.1200858,1.1382171,0.7926452,-1.0882838,-0.58518445,0.30626252,-0.48338905,-0.6082506,2.1129081,-1.0218731,0.5640203,0.7758391,0.4534959,-0.86824346,-1.9963853,0.26051113,0.16935241,1.0982611,-0.5964339,0.7828057,0.20506181,-0.33025008,0.09121207,0.69874614,-0.907797,-0.5969827,-0.7689735,-0.52347547,1.8551903,-0.16666256,1.1057025,0.7713403,-1.5069312,0.90179956,1.1223115,1.0594769,-0.28570464,-0.17466927,1.3601199,-1.2808698,0.01805041,-0.82479584,0.6274757,1.9919076,-1.2788078,0.04378481,-0.03388573,-0.44418955,0.6545879,2.2277048,1.6364986,-0.07447386,0.24595286,0.07449574,1.1156589,-0.20731968,0.359614,-0.30551136,-0.2893929,0.30630258,2.5153804,0.20323876,-1.0170293,-1.2680829,0.11499622,-0.8597879,-0.060424693,-1.2908524,1.1594573,-0.09839791,-0.6076643,-1.4033141,0.096575,-0.2707402,0.16438676,1.0704923,1.2494617,0.043534152,-0.5682299,-0.4526748,1.3572636,1.5734572,-0.78440106,0.41861007,-0.31065685,0.88297,-0.9257141,-0.78346264,0.37298563,0.51880807,-0.089280516,0.6491225,-1.1675568,-0.1390045,0.7569045,-0.1189026,-0.08798285,-0.13370651,-0.04287319,-0.37574288,-0.23118538,-1.8272457,0.11937807,-0.011215301,0.58967984,-0.9865247,1.5113409,-0.47119844,0.16258684,0.32901347,-0.27844697,0.36528596,-0.6400463,0.6165914,0.5195499,-1.9817495,1.1624249,1.5596921,-0.034134865,-0.64557135,1.065432,0.7321111,0.8971205,0.18148363,1.7264112,0.96471035,0.3442454,-0.49852458,0.17282596,0.3723327,-1.2345343,-0.55902886,0.09270367,-1.5090184,-0.03728076,-0.9350983,1.348624,1.4099156,-1.1059213,-1.5622283,-0.023426265,-0.10150979,-0.27268583,0.07943659,0.63356227,-0.28454062,0.051392213,1.3454746,-0.44701284,-0.48621774,-1.4058521,-0.69084585,-0.5412866,-0.063786335,-0.18454213,0.20677668,-0.66832244,-0.004246846,0.93196553,-1.0232502,-0.832577,-0.30102617,-1.3438125,0.45690554,0.044595078,-0.08437356,-0.021169383,-0.22927633,0.10006749,2.4939432,-0.18757406,-1.7417245,-0.64671534,2.2711408,-0.9189389,1.0107915,-0.77723587,-0.4135577,1.8497493,0.25365657,-0.17527737,-0.8625576,-1.3882488,-0.36522394,0.035325725,1.2657177,0.5016209,-0.9216644
